date,weekly_count
2017-01-01,1
2017-01-08,54
2017-01-15,42
2017-01-22,47
2017-01-29,42
2017-02-05,44
2017-02-12,50
2017-02-19,39
2017-02-26,27
2017-03-05,30
2017-03-12,23
2017-03-19,27
2017-03-26,26
2017-04-02,42
2017-04-09,21
2017-04-16,23
2017-04-23,40
2017-04-30,44
2017-05-07,34
2017-05-14,40
2017-05-21,19
2017-05-28,33
2017-06-04,31
2017-06-11,33
2017-06-18,38
2017-06-25,51
2017-07-02,57
2017-07-09,45
2017-07-16,52
2017-07-23,40
2017-07-30,70
2017-08-06,34
2017-08-13,41
2017-08-20,52
2017-08-27,65
2017-09-03,30
2017-09-10,34
2017-09-17,44
2017-09-24,72
2017-10-01,85
2017-10-08,42
2017-10-15,58
2017-10-22,65
2017-10-29,65
2017-11-05,77
2017-11-12,53
2017-11-19,43
2017-11-26,38
2017-12-03,66
2017-12-10,42
2017-12-17,28
2017-12-24,48
2017-12-31,35
2018-01-07,48
2018-01-14,55
2018-01-21,46
2018-01-28,33
2018-02-04,17
2018-02-11,41
2018-02-18,37
2018-02-25,55
2018-03-04,40
2018-03-11,46
2018-03-18,41
2018-03-25,32
2018-04-01,27
2018-04-08,52
2018-04-15,47
2018-04-22,71
2018-04-29,42
2018-05-06,47
2018-05-13,41
2018-05-20,56
2018-05-27,68
2018-06-03,60
2018-06-10,83
2018-06-17,71
2018-06-24,67
2018-07-01,73
2018-07-08,46
2018-07-15,54
2018-07-22,62
2018-07-29,83
2018-08-05,85
2018-08-12,50
2018-08-19,101
2018-08-26,76
2018-09-02,88
2018-09-09,73
2018-09-16,78
2018-09-23,72
2018-09-30,42
2018-10-07,55
2018-10-14,65
2018-10-21,87
2018-10-28,81
2018-11-04,93
2018-11-11,72
2018-11-18,57
2018-11-25,41
2018-12-02,56
2018-12-09,71
2018-12-16,58
2018-12-23,82
2018-12-30,49
2019-01-06,75
2019-01-13,71
2019-01-20,114
2019-01-27,82
2019-02-03,58
2019-02-10,55
2019-02-17,63
2019-02-24,75
2019-03-03,70
2019-03-10,108
2019-03-17,134
2019-03-24,60
2019-03-31,70
2019-04-07,86
2019-04-14,90
2019-04-21,104
2019-04-28,129
2019-05-05,188
2019-05-12,202
2019-05-19,110
2019-05-26,144
2019-06-02,107
2019-06-09,112
2019-06-16,159
2019-06-23,76
2019-06-30,103
2019-07-07,137
2019-07-14,206
2019-07-21,124
2019-07-28,153
2019-08-04,125
2019-08-11,93
2019-08-18,189
2019-08-25,208
2019-09-01,181
2019-09-08,172
2019-09-15,178
2019-09-22,147
2019-09-29,231
2019-10-06,255
2019-10-13,254
2019-10-20,205
2019-10-27,206
2019-11-03,229
2019-11-10,194
2019-11-17,193
2019-11-24,122
2019-12-01,40
2019-12-08,103
2019-12-15,122
2019-12-22,125
2019-12-29,82
2020-01-05,64
2020-01-12,80
2020-01-19,73
2020-01-26,125
2020-02-02,99
2020-02-09,98
2020-02-16,90
2020-02-23,110
2020-03-01,94
2020-03-08,131
2020-03-15,112
2020-03-22,67
2020-03-29,107
2020-04-05,64
2020-04-12,103
2020-04-19,81
2020-04-26,103
2020-05-03,94
